module,status,event_name,trigger,flow_position,required_payload_fields,optional_payload_fields,correlation_id_source,decision_id,action_id,idempotency_key,example_json,expected_volume,failure_event,owner,notes
inject,Proposed,lead_ingested,Lead passes ingestion validation,Chain start,"lead_id","source, persona_tags","generated_at_ingest",N/A,N/A,event_id,"{""event_id"":""evt_001"",""correlation_id"":""uuid"",""module"":""inject"",""event_type"":""lead_ingested"",""timestamp"":""2026-03-25T10:00:00Z"",""payload"":{""lead_id"":""lead_123""},""metadata"":{}}",high,lead_ingest_failed,Inject Lead Owner,Initial canonical event

detective,Proposed,lead_scored,Lead evaluated against ICP,After lead_ingested,"lead_id, score","score_reason, icp_version","propagated_from_upstream",required,recommended,event_id,"{""event_id"":""evt_002"",""correlation_id"":""uuid"",""module"":""detective"",""event_type"":""lead_scored"",""timestamp"":""2026-03-25T10:01:00Z"",""payload"":{""lead_id"":""lead_123"",""score"":0.82},""metadata"":{}}",medium,lead_scoring_failed,Detective Owner,Decision creation point

writer,Proposed,message_generated,Strategy selected and message drafted,After lead_scored,"lead_id, message_id","template_id, tone","propagated_from_upstream",required,required(event-level alias to message_id),event_id,"{""event_id"":""evt_003"",""correlation_id"":""uuid"",""module"":""writer"",""event_type"":""message_generated"",""timestamp"":""2026-03-25T10:02:00Z"",""payload"":{""lead_id"":""lead_123"",""message_id"":""msg_123""},""metadata"":{}}",high,message_generation_failed,Writer Owner,Action creation point

writer,Proposed,message_sent,Message sent to channel,After message_generated,"lead_id, message_id, channel","provider_message_id","propagated_from_upstream",required,required(event-level alias to message_id),event_id,"{""event_id"":""evt_004"",""correlation_id"":""uuid"",""module"":""writer"",""event_type"":""message_sent"",""timestamp"":""2026-03-25T10:03:00Z"",""payload"":{""lead_id"":""lead_123"",""message_id"":""msg_123"",""channel"":""email""},""metadata"":{}}",high,message_send_failed,Writer Owner,Outcome anchor candidate

writer_or_adapter,Proposed,reply_received,Inbound reply detected,After message_sent,"lead_id, message_id, channel","sentiment, reply_text_ref","propagated_from_upstream",recommended,required(event-level alias to message_id),event_id,"{""event_id"":""evt_005"",""correlation_id"":""uuid"",""module"":""writer"",""event_type"":""reply_received"",""timestamp"":""2026-03-25T10:10:00Z"",""payload"":{""lead_id"":""lead_123"",""message_id"":""msg_123"",""channel"":""email""},""metadata"":{}}",medium,reply_ingest_failed,Writer/Channel Owner,Primary reply outcome source

writer_or_crm_adapter,Proposed,conversion,Conversion signal received,After reply_received or message_sent,"lead_id, conversion_id","amount, currency","propagated_from_upstream",recommended,recommended,event_id,"{""event_id"":""evt_006"",""correlation_id"":""uuid"",""module"":""writer"",""event_type"":""conversion"",""timestamp"":""2026-03-25T12:00:00Z"",""payload"":{""lead_id"":""lead_123"",""conversion_id"":""conv_123""},""metadata"":{}}",low,conversion_ingest_failed,Writer/CRM Owner,Must support linked_event_id in outcome record
